(-6919,602)
(0,7220)
(7312.5,10438)
(9750,11282)
(14625,12687)
(19500,13837)
(24375,14663)
(29250,15344)
(39000,16192)
(48750,16400)
(58500,16400)
(68250,16400)
(78000,16400)
(87750,16400)
(97500,16400)
(107250,16392)
(117000,16389)
(126750,16392)
(136500,16383)
(146250,15784)
(156000,14322)
(165750,11436)
(175500,7652)
(185250,3715)
(190125,2035)
(195000,14)
